ta_location_id,hotel_name,amenity
196060,Baur au Lac,Internet
196060,Baur au Lac,Free Internet
196060,Baur au Lac,Free Wifi
196060,Baur au Lac,Suites
196060,Baur au Lac,Accessible rooms
196060,Baur au Lac,Non-smoking rooms
196060,Baur au Lac,Public Wifi
196060,Baur au Lac,Dry Cleaning
196060,Baur au Lac,Meeting rooms
196060,Baur au Lac,Laundry Service
196060,Baur au Lac,Concierge
196060,Baur au Lac,Air conditioning
196060,Baur au Lac,Minibar
196060,Baur au Lac,Room service
196060,Baur au Lac,Restaurant
196060,Baur au Lac,Bar/Lounge
196060,Baur au Lac,Pets Allowed
196060,Baur au Lac,Wifi
196060,Baur au Lac,Business center
196060,Baur au Lac,Fitness center
196060,Baur au Lac,Banquet Room
196060,Baur au Lac,Family Rooms
196060,Baur au Lac,Multilingual Staff
196060,Baur au Lac,Conference Facilities
196060,Baur au Lac,Babysitting
196060,Baur au Lac,Safe
196060,Baur au Lac,Flatscreen TV
196060,Baur au Lac,Breakfast Buffet
196060,Baur au Lac,Private Balcony
196060,Baur au Lac,Butler Service
196060,Baur au Lac,Breakfast Available
196060,Baur au Lac,Parking
196060,Baur au Lac,Facilities for Disabled Guests
196060,Baur au Lac,Housekeeping
196060,Baur au Lac,Arabic
196060,Baur au Lac,Baggage Storage
196060,Baur au Lac,Bathrobes
196060,Baur au Lac,Blackout Curtains
196060,Baur au Lac,Breakfast in the Room
196060,Baur au Lac,Bridal Suite
196060,Baur au Lac,24-Hour Check-in
196060,Baur au Lac,Desk
196060,Baur au Lac,Doorperson
196060,Baur au Lac,English
196060,Baur au Lac,Facial Treatments
196060,Baur au Lac,Complimentary Toiletries
196060,Baur au Lac,French
196060,Baur au Lac,24-Hour Front Desk
196060,Baur au Lac,German
196060,Baur au Lac,Hair Dryer
196060,Baur au Lac,Ironing Service
196060,Baur au Lac,Laptop Safe
196060,Baur au Lac,Massage
196060,Baur au Lac,Newspaper
196060,Baur au Lac,Salon
196060,Baur au Lac,24-Hour Security
196060,Baur au Lac,Soundproof Rooms
196060,Baur au Lac,Spanish
196060,Baur au Lac,Special Diet Menus
196060,Baur au Lac,Telephone
196060,Baur au Lac,Valet Parking
196060,Baur au Lac,Wake Up Service / Alarm Clock
196060,Baur au Lac,Airport transportation
196060,Baur au Lac,Electric vehicle charging station
196060,Baur au Lac,Air Purifier
196060,Baur au Lac,Allergy-free Room
196060,Baur au Lac,Bidet
196060,Baur au Lac,"Books, DVDs, Music for Children"
196060,Baur au Lac,Express Check-in / Check-out
196060,Baur au Lac,Children's Television Networks
196060,Baur au Lac,Coffee Shop
196060,Baur au Lac,Currency Exchange
196060,Baur au Lac,Extra Long Beds
196060,Baur au Lac,First Aid Kit
196060,Baur au Lac,Fitness / Spa Locker Rooms
196060,Baur au Lac,Free Wifi in the Business Center
196060,Baur au Lac,Gift Shop
196060,Baur au Lac,Greek
196060,Baur au Lac,Highchairs Available
196060,Baur au Lac,Infirmary
196060,Baur au Lac,Interconnected room(s) available
196060,Baur au Lac,Landmark View
196060,Baur au Lac,Makeup Services
196060,Baur au Lac,Manicure
196060,Baur au Lac,Mountain View
196060,Baur au Lac,On-Demand Movies
196060,Baur au Lac,Pedicure
196060,Baur au Lac,Personal Trainer
196060,Baur au Lac,Private Bathrooms
196060,Baur au Lac,Private Check-in / Check-out
196060,Baur au Lac,Radio
196060,Baur au Lac,Russian
196060,Baur au Lac,Secured Parking
196060,Baur au Lac,Shoeshine
196060,Baur au Lac,Sofa
196060,Baur au Lac,Tile / Marble Floor
196060,Baur au Lac,VIP Room Facilities
196060,Baur au Lac,Waxing Services
196060,Baur au Lac,Photo Copier / Fax In Business Center
196060,Baur au Lac,Beach Access
196061,The Dolder Grand,Pool
196061,The Dolder Grand,Internet
196061,The Dolder Grand,Room service
196061,The Dolder Grand,Free Internet
196061,The Dolder Grand,Free Wifi
196061,The Dolder Grand,Suites
196061,The Dolder Grand,Shuttle Bus Service
196061,The Dolder Grand,Wheelchair access
196061,The Dolder Grand,Restaurant
196061,The Dolder Grand,Bar/Lounge
196061,The Dolder Grand,Pets Allowed
196061,The Dolder Grand,Spa
196061,The Dolder Grand,Airport transportation
196061,The Dolder Grand,Wifi
196061,The Dolder Grand,Dry Cleaning
196061,The Dolder Grand,Meeting rooms
196061,The Dolder Grand,Hot Tub
196061,The Dolder Grand,Golf course
